full_formula,task_id,formation_energy_per_atom
Yb2Cu4,mp-567538,-0.29678613500000023
Li12Tb4N24O72,mp-1212130,-1.531613004795714
Tl2Ge1F6,mp-1208162,-2.5651610457933334
Li2Pr4Ir2O12,mp-11906,-2.7176493257500014
Cs4Pr4C8O24,mp-18698,-2.557759906620691
Y1P1,mp-994,-1.6267119360714286
Ta2Ti2Al2C2,mp-1217909,-0.6262297713541667
Sm2Cd1In1,mp-1187051,-0.41986170833333336
Ho22In12Ge8,mp-1201298,-0.6512183552380949
K8Si4S24O84,mp-1019785,-2.131295685720833
Na8Al6Si6C2N2O26,mp-1173717,-2.8623793253152003
K4Mg6Zn4Si24O60,mp-1224589,-3.1137102589489793
Ba8Ga8S20,mp-18421,-1.7598254433680565
Pr21Fe8Bi7C12,mp-582883,-0.5009233476041667
Rb4Ag4N8O24,mp-555526,-1.14521785017715
Lu4Zn4Pt4,mp-1210625,-0.9982492349999994
Sr4Er8Se16,mp-1193520,-1.9481686681250001
K1Cr1F6,mp-20076,-2.6405498631424993
Mg4B16,mp-365,-0.13836682833333355
Ce2Co18Si8,mp-1193469,-0.4820742032142858
Sr8P12Pd12,mp-649419,-0.909558275178572
Zr4S2N4,mp-11583,-1.9329020507644998
Cs1Yb1F3,mp-8398,-3.910027932955379
Na8In4Ni4F28,mp-22820,-2.738930139378485
H8C2N4O2,mp-23778,-0.7947980770925005
Mg4H32Cl8O16,mp-1203165,-1.5858035105320007
Cs8Zn6F20,mp-17951,-2.821712497160447
Ce1Fe2Ge2,mp-21882,-0.44975014200000063
Nb8Fe8Si14,mp-1192618,-0.605993747333333
Mn1Cl2,mp-28233,-1.4806584221733334
Ba8Ca8Tl7Cu12O39,mp-1204270,-1.9874769651520272
Be4Co2H40N4O12F16,mp-24347,-1.748566614978974
Hf1Al1Co2,mp-5221,-0.5743956624999997
Na4Co2Ni2F14,mp-1210483,-2.5039734956663637
Ba2Ca1B2O6,mp-549737,-3.24200410189394
Y4Mo4O12,mvc-14154,-2.9789558382500005
Li1Zn1Ag2,mp-861625,-0.19044847708333323
Na3La9B8O27,mp-6760,-3.4084955566081567
Ba3Cu6Ge3S12,mp-17947,-1.1425231472395836
Ga8Ag8P16Se48,mp-654129,-0.22400070012648854
Nd4Mg7Ge6,mp-1188412,-0.5543554341176472
Ba32Ga28,mp-30429,-0.36870526833333345
Zn4Te6O16,mp-3502,-1.625467721153846
Li4V8O20,mp-777667,-2.4689327442187494
Tl8Mo12P12O68,mp-1208507,-2.2752539964071423
Gd12Ga20O48,mp-2921,-2.951578403375001
Sr22Re8O48,mp-29908,-2.8992107402564113
Y2Al4,mp-2322,-0.5318852350000002
Ca2La2Mn2Nb2O12,mp-1227173,-3.228261421596
V3Ag2Te1S6,mp-1102112,-1.0535160748090284
Ce2Ni8B2,mp-1095459,-0.4551889869444447
Rb1Nd1Te2,mp-5808,-1.396957046961207
Ta2Nb1Ir1,mp-864640,-0.38000526749999963
Er2Si2,mp-378,-0.8232981799999992
Sr4Cu2F12,mp-557552,-3.4586081435711113
Ce4Co6Si10,mp-1189037,-0.7714534584999996
Mn4P16O44,mp-557042,-2.57930165583009
Ba4Li4Al4F24,mp-543044,-3.879228239682222
Pr2Br6,mp-23221,-1.914331335
In8Si8Pb8O36,mp-542840,-2.422647321861112
Cs12Sb4O12,mp-562072,-1.7869994239100981
As2Cl10,mp-30106,-0.9316416577166668
Nb6Co7,mp-7250,-0.15574907307692326
Li2Ga2Te4,mp-5048,-0.6276887850000001
Cs2Na1Er1F6,mp-13816,-3.6254401199053787
Cs4Nb12P12O60,mp-1213520,-2.944136516426612
Ba2Sn2Ge6O18,mp-540635,-2.3724063981250003
Ag2Au4F16,mp-18125,-1.3984640060169697
Cs12Sc4O12,mp-768976,-2.2852405906958126
Li1Rh3,mp-1001787,-0.14004950250000014
Gd8Sb3O8,mp-1224996,-3.091533524736844
Cs4In1Sb1Cl12,mp-1225983,-1.82418846984894
Fe3Rh1,mp-1184364,-0.026598537499999964
La6Ge6Br4,mp-672231,-1.2543261996875001
Ca8Ga16Se32,mp-13873,-1.0043967281250004
Be8As4H36O36,mp-720433,-1.7827383910157137
Tc12Se16I4,mp-1202969,-0.5414276214843747
Y6Sb2O14,mp-981511,-3.424352703295456
Ce1Al8Fe4,mp-16486,-0.4069963169230769
Tb4Ru8,mp-1101970,-0.308895036666667
Pr6Si2Ag2Se14,mp-17389,-1.347457423068576
Ba6Li2Ru4O18,mp-542122,-2.317009501583334
Hf10Cu2Pb6,mp-607409,-0.09873673666666605
Ho4Te10O26,mp-5572,-2.219232637437499
Nb2Sn12O2F30,mp-1220683,-2.758837411156522
Dy4Cu4S8,mp-554120,-1.7079503132812501
Zn2Ni2,mp-429,-0.24899301500000037
Ce1Tm1In2,mp-1184197,-0.3760794791666662
Li4Ti2Si2O10,mp-6332,-3.121086858379629
Tl8Ag8P8Se24,mp-1195701,-0.23315282993179606
Li1Cu1Pd2,mp-862657,-0.3000217000000003
Li4Fe2Ge2O8,mp-1210923,-2.2079968843750004
Sm4Si10Pd6,mp-1208894,-0.8306889755
Eu2Cl4,mp-1183892,-2.7548094988400003
K6Ge2H6S6O4,mp-24340,-1.4386091199622915
Li1O8,mp-1235059,-0.42339002444444496
Ba17Yb16Zn8Pt4O57,mp-680165,-2.6137785375367657
Rb8W4S16,mp-17048,-1.3681459631342376
Dy2In4Ni2,mp-1079916,-0.4257833329166667
Dy6Ni2Pd4,mp-1225399,-0.752439685833334
